doc_index,topic_id,norm_topic_weight,yr_mnth
212,6,0.8316866,2015-12
213,6,0.93112916,2018-05
214,6,0.9338114,2015-12
215,6,0.6512403,2015-11
216,6,0.4776531,2015-11
217,4,0.3998862,2015-11
218,6,0.8280234,2015-11
219,6,0.7682497,2015-11
220,7,0.39524424,2018-05
221,6,0.8903113,2015-10
222,6,0.99032015,2015-10
223,6,0.7072772,2015-10
224,6,0.82568425,2015-10
225,6,0.93715334,2015-10
226,6,0.9909072,2015-10
227,6,0.6960059,2015-10
228,6,0.843952,2018-05
229,6,0.993332,2015-10
230,6,0.8898764,2015-10
231,6,0.8793633,2015-10
232,6,0.7640575,2015-10
233,6,0.60240227,2015-10
234,6,0.75677055,2015-10
235,6,0.76663303,2015-10
236,6,0.98902214,2015-09
237,3,0.41209435,2018-05
238,6,0.9930754,2015-09
239,6,0.8829541,2018-07
240,5,0.41457352,2018-05
241,3,0.6505699,2018-05
242,6,0.850774,2018-05
243,6,0.98615104,2018-05
244,9,0.49599263,2018-05
245,3,0.76355004,2018-05
246,6,0.7361158,2018-05
247,9,0.84537125,2018-05
248,8,0.4904483,2018-05
249,6,0.5042026,2018-05
250,6,0.35505402,2018-07
251,6,0.45930815,2018-05
252,8,0.65239424,2018-05
253,8,0.39686757,2018-05
254,6,0.8507419,2018-05
255,8,0.49224514,2018-05
256,7,0.45309466,2018-05
257,3,0.5493339,2018-05
258,8,0.62184215,2018-05
259,5,0.7381336,2018-05
260,4,0.7410505,2018-05
261,8,0.3799052,2018-07
262,6,0.7880776,2018-05
263,6,0.42955786,2018-05
264,6,0.994999,2018-05
265,6,0.74076384,2018-05
266,6,0.8086992,2018-05
267,6,0.4787788,2018-05
268,7,0.88109964,2018-05
269,6,0.44985113,2018-05
270,7,0.58139247,2018-05
271,3,0.30961588,2018-05
272,6,0.997124,2018-07
273,6,0.8453411,2018-05
274,9,0.8394756,2018-05
275,6,0.61733735,2018-05
276,6,0.46078974,2018-05
277,7,0.46029082,2018-05
278,6,0.43484634,2018-05
279,6,0.59896976,2018-05
280,6,0.62566143,2018-05
281,6,0.44087943,2018-05
282,6,0.7100085,2018-05
283,6,0.7097319,2018-07
284,6,0.43595016,2018-05
285,6,0.41016048,2018-05
286,8,0.5380352,2018-05
287,6,0.7329344,2018-05
288,6,0.6429743,2018-05
289,9,0.46633014,2018-05
290,6,0.8898936,2018-05
291,6,0.55420816,2018-05
292,4,0.46227694,2018-05
293,6,0.58742577,2018-07
294,6,0.79900247,2018-05
295,7,0.32740122,2018-05
296,5,0.44639504,2018-05
297,6,0.6387196,2018-05
298,6,0.99523693,2018-05
299,6,0.34918788,2018-05
300,6,0.47202733,2018-05
301,6,0.8290378,2018-05
302,4,0.6751531,2018-05
303,4,0.5287588,2018-05
304,8,0.4296753,2018-07
305,6,0.5195446,2018-05
306,6,0.42004094,2018-05
307,6,0.6529124,2018-05
308,6,0.5951851,2018-05
309,6,0.8194275,2018-05
310,6,0.9453321,2018-05
311,6,0.5256386,2018-05
312,6,0.86384845,2018-05
313,9,0.47259715,2018-05
314,6,0.85828894,2018-05
315,5,0.42787328,2018-07
316,6,0.977565,2018-07
317,6,0.83600587,2018-05
318,8,0.6933649,2018-04
319,7,0.48381338,2018-04
320,6,0.71718955,2018-04
321,6,0.9205779,2018-04
322,5,0.41849113,2018-04
323,6,0.87528104,2018-04
324,8,0.84186655,2018-04
325,3,0.36127773,2018-04
326,3,0.56167376,2018-04
327,6,0.47071344,2018-07
328,6,0.59269214,2018-04
329,6,0.60447127,2018-04
330,7,0.45759174,2018-04
331,6,0.8376835,2018-04
332,6,0.3335861,2018-04
333,6,0.4720341,2018-04
334,6,0.53494954,2018-04
335,6,0.72779477,2018-04
336,5,0.53032726,2018-04
337,6,0.5576676,2018-04
338,6,0.7980113,2018-07
339,6,0.9904189,2018-04
340,6,0.7171609,2018-04
341,6,0.7696169,2018-04
342,6,0.8105252,2018-04
343,6,0.5262682,2018-04
344,6,0.7737274,2018-04
345,8,0.5476388,2018-04
346,8,0.9749944,2018-04
347,6,0.7694107,2018-04
348,6,0.93442565,2018-04
349,8,0.42828497,2018-07
350,6,0.949417,2018-04
351,6,0.76548404,2018-04
352,5,0.4302879,2018-04
353,6,0.77800584,2018-04
354,6,0.6357326,2018-04
355,6,0.5819272,2018-04
356,6,0.7052835,2018-04
357,6,0.652483,2018-04
358,6,0.91838515,2018-04
359,8,0.6875963,2018-07
360,6,0.78410435,2018-04
361,6,0.7550901,2018-04
362,6,0.46102408,2018-04
363,6,0.7695428,2018-04
364,6,0.72774917,2018-04
365,6,0.9873216,2018-04
366,6,0.751365,2018-04
367,6,0.36070007,2018-04
368,6,0.7888333,2018-04
369,5,0.46159998,2018-04
370,6,0.661982,2018-07
371,6,0.47104073,2018-04
372,6,0.47883862,2018-04
373,8,0.38945138,2018-04
374,9,0.45122105,2018-04
375,6,0.5781832,2018-04
376,8,0.45995516,2018-04
377,6,0.63460207,2018-04
378,8,0.488871,2018-04
379,6,0.92194647,2018-04
380,6,0.61479986,2018-04
381,6,0.7240645,2018-07
382,6,0.92094433,2018-04
383,4,0.5637563,2018-04
384,9,0.5642248,2018-04
385,8,0.28425628,2018-04
386,6,0.54203796,2018-04
387,8,0.5248859,2018-04
388,7,0.54924476,2018-04
389,6,0.66294175,2018-04
390,6,0.34335363,2018-04
391,1,0.37698182,2018-04
392,6,0.54258156,2018-07
393,6,0.8896693,2018-04
394,3,0.9165808,2018-04
395,6,0.52874744,2018-04
396,6,0.29531083,2018-04
397,6,0.69077843,2018-04
398,6,0.44975543,2018-04
399,0,0.74228776,2018-04
400,6,0.5835954,2018-04
401,6,0.80868405,2018-04
402,6,0.55870384,2018-04
403,3,0.62188834,2018-07
404,6,0.9211664,2018-04
405,1,0.45730183,2018-04
406,3,0.4603885,2018-04
407,6,0.48216534,2018-04
408,6,0.8401724,2018-03
409,6,0.47302896,2018-03
410,6,0.931176,2018-03
411,9,0.42928895,2018-03
412,8,0.73900974,2018-03
413,6,0.99268144,2018-03
414,5,0.47217104,2018-07
415,6,0.8239237,2018-03
416,6,0.7113955,2018-03
417,8,0.35120288,2018-03
418,6,0.9954536,2018-03
